year,iso3,INFRA,INFRA_PC,INFRA_k,HCR,HCR_PC,HCR_k
2002,BDI,-0.8237879962544064,-0.8259094648971397,4,-0.9506745501915936,-0.9623362787529985,4
2002,BEN,-0.15611436327683476,-0.16068928483779715,4,-0.14352970779365148,-0.1731153114279007,4
2002,BFA,-0.6743276801406747,-0.6749534359340813,4,-1.1988495528405403,-1.2129606609901389,3
2002,BWA,1.1870415338577989,1.1760831123953646,4,1.666537545489506,1.6766148031997354,4
2002,CAF,-0.8887414845711185,-0.8858253123813243,4,-0.8276835113136545,-0.8405723662538517,4
2002,CIV,0.34124392002082443,0.3322873735516478,4,-0.41267380705668677,-0.4127663571475463,2
2002,CMR,0.0350669017888325,0.02456823844802812,4,0.10243502366844076,0.07836345150263639,4
2002,COD,-0.8308627090161942,-0.8360571104046398,4,0.10444993695247409,0.10319357336656731,2
2002,COG,-0.08210232177146856,-0.10235566359989241,4,0.6115037997145222,0.611065355934636,4
2002,COM,-0.177142344026426,-0.15599629640344798,4,-0.009375687933560594,-0.008896800225225017,4
2002,CPV,1.5122067912774544,1.519602424048464,4,0.9729479644138852,0.99654801297406,4
2002,DJI,0.055344594863051946,0.05848994182964857,4,-1.3355125949800495,-1.3448774358053592,3
2002,ERI,-0.4364683764102557,-0.421064687799051,4,0.17159507646123964,0.18853045677550065,3
2002,ETH,-0.8394529359177311,-0.8322187696237979,4,-0.8877990131164393,-0.8945246849730822,4
2002,GAB,1.2443027438358052,1.2300162814557654,4,1.187658812355046,1.1768003206753288,4
2002,GHA,0.11215348809973372,0.11796448508104504,4,0.07228592596393472,0.06938916732369863,3
2002,GIN,-0.5554928203127307,-0.5547297385828431,4,-0.7505342624177793,-0.7578756362812289,4
2002,GMB,0.4945762049131991,0.48994822492117945,4,-0.8260282042085597,-0.8184227677906838,3
2002,GNB,-0.6478149847499415,-0.6313233337683911,4,-0.146071134054799,-0.15301507902013753,2
2002,GNQ,0.2797847098201206,0.274314238321708,4,-0.021573107791500123,-0.03413783454677153,3
2002,KEN,-0.025788599434119992,-0.030092120762654943,4,0.32712120649879206,0.3350951664068032,4
2002,LBR,-0.9592575959693016,-0.954407502468817,3,0.39311097267037876,0.3950580497862046,2
2002,LSO,-0.005469524400528568,-0.020819831701481096,4,0.2905356489437767,0.3011368699307693,4
2002,MDG,-0.616372183488965,-0.6157266765080179,4,-0.08750593872882466,-0.0746655949450213,3
2002,MLI,-0.719536555520127,-0.7144061715091977,4,-0.916626938515904,-0.9276438757263366,4
2002,MOZ,-0.620186752870024,-0.6240760006393591,4,-0.9811827408339915,-0.9726476040592675,4
2002,MRT,0.0370297628779311,0.014201757315549747,4,-0.3790374482237917,-0.39692212877015,4
2002,MUS,2.708792201358967,2.7201529014957764,4,1.9805834993952178,1.9712212622857483,4
2002,MWI,-0.7090699408429723,-0.7084924216290659,4,-0.20097861742470455,-0.15635838136300875,4
2002,NAM,0.931818485452603,0.9318881562014908,4,1.2513922389738954,1.2605964767496236,4
2002,NER,-0.8453768727137415,-0.8439834893536967,4,-1.5511036556092506,-1.5474867464378728,3
2002,NGA,-0.23959110111219398,-0.23590059593171106,4,0.43660875041974107,0.3965902319111832,4
2002,RWA,-0.7142268592609838,-0.7158578525664641,4,-0.5021750169010155,-0.5092080298710556,4
2002,SDN,-0.1849559525519197,-0.17475518300201098,4,0.004834449703884143,-0.044831266174742854,4
2002,SEN,0.34105026257759596,0.3350561837594541,4,-0.5417432252388537,-0.5749031383765366,4
2002,SLE,-0.6335361510924282,-0.6382276626819183,4,-0.47683392987114265,-0.4805547770296649,3
2002,SOM,-0.7328576381531701,-0.7366649137374371,4,,,0
2002,SSD,,,0,,,0
2002,STP,0.9713245757093213,1.006311851913585,4,,,1
2002,SWZ,0.5028752784418217,0.4985340054066188,4,0.5638570078565912,0.5618198892180911,4
2002,SYC,2.935066969554683,2.940320314865325,4,2.3878577004183574,2.375967447056829,2
2002,TCD,-0.9132697201801558,-0.9113065762904672,4,-1.0863638921540437,-1.082228857101323,4
2002,TGO,-0.08066168103986826,-0.08385955346104501,4,0.20549754832647985,0.20720507476710415,3
2002,TZA,-0.5772459329149628,-0.5834195008508961,4,-0.5455702815443143,-0.5154345131200581,3
2002,UGA,-0.6270773116294256,-0.6317940470537318,4,0.33447863384078746,0.33558899452362817,3
2002,ZAF,2.062269573021717,2.0611703874124174,4,1.8174337111246173,1.8183692460755612,3
2002,ZMB,-0.40125611474651235,-0.40038047517353564,4,0.5222434667557361,0.5218383872765285,2
2002,ZWE,0.22704191258340473,0.2297570772185264,4,0.9094174136823342,0.9008222517607645,3
2003,AGO,-0.47420066765636737,-0.4748325692776756,4,-0.5027058865911045,-0.5196205633511021,4
